 Product , Size  ,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25
,, Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity , Quantity 
Ice.Cream  (Butt Scotch),1 lts,"7,000 ","5,900 ","10,200 ","8,700 ","5,500 ","5,600 ","6,200 ","6,300 ","5,800 ","6,500 ","4,800 ","7,500 ","5,600 ","5,700 ","6,600 ","5,800 ","4,100 "
Ice.Cream  -Coffee,1 lts,"5,400 ","4,900 ","5,700 ","4,400 ","1,700 ","4,100 ","4,500 ","4,400 ","4,900 ","4,900 ","2,200 ","4,700 ","2,600 ","3,600 ","4,400 ","3,600 ","4,100 "
Ice.Cream  (Fruit Nut),2 lts,"1,600 ","1,200 ","1,400 ","1,600 ",800 ,"1,000 ",800 ,"1,100 ","1,100 ",800 ,700 ,"1,300 ","1,000 ","1,100 ",900 ,"1,200 ",900 
Real Wood Apple Ice Cream,500 ml,"1,300 ","1,600 ","1,000 ","1,000 ","1,200 ",200 ,200 ,100 ,100 ,900 ,700 ,"1,500 ",900 ,"1,000 ","1,200 ","1,300 ","1,100 "
Real Strawberry Ice Cream ,500ml,0 ,0 ,0 ,0 ,900 ,100 ,100 ,0 ,0 ,100 ,0 ,"1,200 ","1,000 ",700 ,"1,000 ",500 ,600 
Curd (Plain),500 ml,"172,000 ","181,000 ","250,000 ","195,000 ","164,000 ","156,000 ","175,000 ","186,000 ","165,000 ","178,000 ","166,000 ","181,000 ","179,200 ","192,900 ","239,500 ","179,700 ","168,700 "
Curd (Plain),1 lts,"47,000 ","49,000 ","56,000 ","51,000 ","39,000 ","36,000 ","43,000 ","42,000 ","43,000 ","41,000 ","39,000 ","49,000 ","49,100 ","50,000 ","62,400 ","49,900 ","47,500 "
Condensed Milk,525g,"3,000 ","16,000 ","15,000 ","10,000 ","5,000 ","5,000 ","4,000 ","5,000 ","5,000 ","6,000 ","5,000 ","9,000 ","5,600 ","6,200 ","7,200 ","9,100 ","3,600 "
Condensed Milk,5.1 kg,"14,000 ","13,000 ","15,000 ","15,000 ","15,000 ","13,000 ","16,000 ","14,000 ","13,000 ","14,000 ","14,000 ","16,000 ","14,800 ","15,800 ","15,000 ","15,500 ","18,000 "
Yoghurt  - Plain ,90 gm,"6,806,000 ","7,001,000 ","7,464,000 ","6,909,000 ","6,266,000 ","6,280,000 ","7,048,000 ","7,094,000 ","6,821,000 ","6,833,000 ","6,063,000 ","7,025,000 ","6,454,400 ","6,890,200 ","6,807,000 ","7,047,900 ","7,338,600 "
Yoghurt  - Drinking ,180 ml,"159,700 ","158,500 ","183,500 ","138,900 ","130,600 ","77,600 ","84,200 ","82,900 ","62,700 ","46,500 ","53,200 ","56,200 ","55,700 ","68,700 ","63,800 ","57,500 ","72,100 "
Yog- Non Fat,90 gm,100 ,"17,400 ","13,600 ","5,900 ","6,200 ","6,200 ","6,100 ","5,400 ","5,800 ","6,700 ",0 ,"5,700 ","6,200 ","6,500 ","5,500 ","5,400 ",
